scope	metric	unit	predicted_low	predicted_base	predicted_high	authorized_cap	observed	decision	evidence	notes
successful_observation_calibration	aggregate_wall_hours	hours				17.5	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	compressed_inputs_gib	GiB				120	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	concurrent_species	count				2	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	core_hours	core-hours				280	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	cpus_per_element	count				8	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	file_inodes	count				60000	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	memory_per_job_gib	GiB				96	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	metadata_operations	count				500000	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	moosefs_read_gb	GB				180	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	moosefs_write_gb	GB				200	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	peak_bandwidth_mib_s	MiB/s				120	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	persistent_input_gb	GB				160	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	persistent_output_gb	GB				32	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	scratch_gib	GiB				139.698386192	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
successful_observation_calibration	species	count				6	0 (refusal; excluded from calibration)	NOT_CALIBRATED	analysis/vgp_pilot_slurm_telemetry.tsv:2; analysis/vgp_pilot_refusals.tsv:2	There were no successful jobs. Zero-use refusal evidence proves cap compliance only; it supplies no runtime, memory, scratch, I/O, or throughput observation.
full_eligible_catalog_projection	all_resources	not_applicable					not observed	REQUIRES_NEW_AUTHORIZATION	analysis/vgp_pilot_slurm_telemetry.tsv:2	No successful pilot observation supports a low/base/high full-eligible-catalog projection. Any projection is an estimate and any expansion requires a new explicit authorization.
