dataset_id	branch	pilot_role	execution_state	dataset_name	taxon_or_clade	exact_accessions	sample_structure	minimum_design_unit	size_or_scale	reference_and_annotation	license_or_reuse_terms	source_urls	callable_input_contract	limitations_and_activation_rule
D01	direct	primary_executable	AUTHORIZED_DOWNSTREAM_PILOT	Arabidopsis recombinant tetrads and doubled haploids	Arabidopsis thaliana	PRJEB4500; ERP003793	13 complete Col/Ler qrt1 male meiotic tetrads represented by 52 tetrad offspring; 10 doubled-haploid products; Col, Ler, and Cvi parental genomes; each complete tetrad contains all four products of one meiosis	one complete four-product tetrad with both parental genotypes and callable Col/Ler-informative markers	65 sequenced genomes total; five tetrads (20 offspring) at mean 54x and eight tetrads (32 offspring) at mean 14x; 10 doubled haploids plus 3 parents; approximately 120 Mb haploid nuclear genome	TAIR10/Col-0 GCF_000001735.4; TAIR10.1/NCBI RefSeq annotation on GCF_000001735.4; parental Col/Ler/Cvi genotypes must be reconstructed from exact study runs and bound to checksums	ENA public study; EMBL-EBI terms of use and publication citation apply; public access does not transfer third-party rights	https://www.ebi.ac.uk/ena/browser/view/PRJEB4500;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3865688/;https://www.ncbi.nlm.nih.gov/datasets/genome/GCF_000001735.4/	per-tetrad intersection of uniquely mappable, copy-normal, adequately covered parental-informative marker intervals across all four products; exclude Cvi receptor contribution, structural rearrangements, repeats, segregation errors, and marker deserts with reason codes	Executable direct pilot, but only 13 meioses: event and tract summaries are pilot estimates; GC-transmission distortion is reported with exact uncertainty and is not claim-grade unless the predeclared informative-conversion threshold is met; no transfer to vertebrate rates
D02	direct	alternate	DESIGN_ONLY_ALTERNATE	Illumina Platinum Genomes CEPH pedigree 1463	Homo sapiens	phs001224; PRJEB3381; PRJEB3246	three-generation 17-member pedigree: NA12889, NA12890, NA12891, NA12892 grandparents; NA12877 and NA12878 parents; NA12879, NA12880, NA12881, NA12882, NA12883, NA12884, NA12885, NA12886, NA12887, NA12888, and NA12893 offspring; 11 full siblings yield 22 parental transmissions, with four additional grandparent-to-parent transmissions if all members pass	one offspring with both parents and transmitted parental haplotypes; claim-grade direct rate requires at least 50 independent callable meioses, so this pedigree is sensitivity/benchmark scale	17 genomes at approximately 50x HiSeq 2000; NA12877 and NA12878 also approximately 200x; 26 potential pedigree transmissions before QC	GRCh38 GCA_000001405.15; GENCODE/RefSeq annotation version must be frozen with the run; public Platinum phased variant and inheritance resources must be checksum-bound	Platinum resources are stated to be freely available and require manuscript citation; complete raw study phs001224 is dbGaP-governed, while PRJEB3381/PRJEB3246 and released callsets are public; access and consent scope must be audited before activation	https://www.illumina.com/platinumgenomes.html;https://www.ebi.ac.uk/ena/browser/view/PRJEB3381;https://www.ebi.ac.uk/ena/browser/view/PRJEB3246;https://www.ncbi.nlm.nih.gov/projects/gap/cgi-bin/study.cgi?study_id=phs001224	intersection of high-confidence callable intervals in child and both parents, inheritance-vector certainty, unique diploid mapping, genotype quality, copy number two, and no Mendelian conflict; phase switches and de novo mutations are separate classes	Activate only if D01 fails identity/callability or a human sensitivity is separately desired and access is authorized; short reads poorly resolve very short NCO tracts, cell-line artifacts require filters, and the family is not a population sample
P01	population	primary_design	NOT_RUN_DESIGN_ONLY	1000 Genomes 30x high-coverage cohort	Homo sapiens, same-population YRI primary stratum	PRJEB31736; PRJEB36890	3,202 genomes at targeted 30x including the original 2,504 Phase-3 individuals and additional trio-completing samples; primary design retains unrelated YRI individuals from the frozen pedigree/population file and analyzes other populations only as replicated strata	at least 50 unrelated diploid individuals from one sampling population after kinship, ancestry, missingness, and coverage QC; target YRI n is frozen from the exact release metadata before genotype access	3,202 whole genomes at approximately 30x; core Phase-3 panel n=2,504 across 26 populations; expanded cohort includes 602 trios	GRCh38 GCA_000001405.15; exact joint-call release, mask, ancestral-allele source, and GENCODE/RefSeq version must be frozen; Pan troglodytes and Gorilla assemblies used for polarization must be exact-versioned in an acquisition amendment	1000 Genomes/IGSR data are public without access or use restriction under the project data-use framework; acknowledge participants and project; verify current index license and consent metadata	https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9439720/;https://www.ebi.ac.uk/ena/browser/view/PRJEB31736;https://www.ebi.ac.uk/ena/browser/view/PRJEB36890;https://www.internationalgenome.org/data-portal/data-collection/30x-grch38	autosomal biallelic SNVs jointly callable in at least 95% of retained individuals, copy number two, outside low-mappability/SD/selection masks for the neutral primary; retain genotype likelihood sensitivity and context-specific monomorphic opportunities	Design only in this graph; population B is model-dependent, admixture/structure and linked selection are major confounders, and no value may be inferred from VGP H1/H2 pairs
P02	population	alternate_design	NOT_RUN_DESIGN_ONLY	1001 Genomes Arabidopsis panel	Arabidopsis thaliana local genetic groups	PRJNA273563	1,135 natural inbred accessions with published group/geography metadata; analysis must choose a preregistered local group with at least 50 unrelated/non-clonal accessions and exclude global pooling	at least 50 non-clonal accessions within one locality/genetic group after relatedness and missingness QC	1,135 accessions/experiments; approximately 120 Mb haploid nuclear genome per line; combined whole-genome VCF available	TAIR10/Col-0 GCF_000001735.4 and TAIR10.1 annotation; Arabidopsis lyrata plus a second Brassicaceae outgroup must be exact-versioned before polarization	Public project and stock-center resource; repository terms and consortium citation apply; accession-specific restrictions must be checked before activation	https://www.ncbi.nlm.nih.gov/bioproject/PRJNA273563;https://1001genomes.org/;https://tools.1001genomes.org/vcfsubset/	accession-by-site callability, inbreeding-aware haploidized likelihoods, copy-normal unique sequence, context-specific invariant opportunities, and local-group structure covariates	Activate only under a separate population task; selfing, residual clonality, geographic structure, and reference bias require a species-specific demographic model, so it is not a plug-in replicate of human B
H01	historical_phylogenetic	primary_executable_panel_1	AUTHORIZED_DOWNSTREAM_PILOT	VGP stickleback/pipefish close-clade panel	Gasterosteiformes/Syngnathiformes	Spinachia_spinachia=GCA_048126635.1;Pungitius_pungitius=GCA_949316345.1;Gasterosteus_aculeatus=GCA_964276395.1;Syngnathus_acus=GCA_948146105.1;Syngnathus_typhle=GCA_048301445.1	one primary VGP focal assembly, two close ingroup assemblies, and two distinct outgroup species; one assembly/individual per species; species-tree and topology sensitivity required	at least 3 ingroup taxa plus 2 outgroup taxa with orthologous callable bases; each claimed focal branch needs both outgroups to agree or be handled by a polarization-error mixture	Spinachia 407541755 bp/278 contigs; Pungitius 480434100 bp/912; Gasterosteus 511138727 bp/460; S. acus 359199823 bp/345; S. typhle 368283750 bp/229	Spinachia GCA_048126635.1-GB_2025_08_04; Pungitius GCF_949316345.1-RS_2024_01; Gasterosteus GCF_964276395.1-RS_2025_12; S. acus no native annotation on exact GCA snapshot; S. typhle GCA_048301445.1-GB_2025_08_16	NCBI molecular sequence data have no NCBI-imposed use restriction, but submitter rights are not transferred; VGP/G10K publication status and attribution must be rechecked for every exact assembly	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_048126635.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_949316345.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_964276395.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_948146105.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_048301445.1/dataset_report	reciprocal 1:1 orthology, single-copy synteny, base/assembly masks, alignment-quality masks, context-specific WS/SW opportunity counts; fourfold analysis only where audited homologous CDS phase exists in all required taxa	Primary executable phylogenetic pilot; semi-complete assemblies are admissible only through callable denominators; topology discordance, ancestral polymorphism, and annotation missingness are explicit sensitivities
H02	historical_phylogenetic	primary_executable_panel_2	AUTHORIZED_DOWNSTREAM_PILOT	VGP falcon close-clade panel	Falco	Falco_naumanni=GCA_017639655.1;Falco_tinnunculus=GCA_976974455.1;Falco_peregrinus=GCA_965282525.1;Falco_cherrug=GCA_023634085.1;Falco_punctatus=GCA_963210335.1	five distinct falcon species; F. naumanni is the frozen VGP focal; branch estimates use a preregistered species tree and discordant local-gene-tree sensitivity	at least 3 ingroup taxa plus 2 outgroup taxa; every reported branch requires identifiable ancestral state under two-outgroup or explicit probabilistic polarization	F. naumanni 1215702009 bp/588 contigs; F. tinnunculus 1417225294 bp/1002; F. peregrinus 1284654402 bp/728; F. cherrug 1309366964 bp/540; F. punctatus 1279260504 bp/722	F. naumanni GCF_017639655.2-RS_2026_06; F. tinnunculus none on exact GCA snapshot; F. peregrinus none; F. cherrug GCF_023634085.1-RS_2023_04; F. punctatus GCF_963210335.1-RS_2025_09	NCBI molecular sequence policy plus assembly-specific VGP/G10K publication-status audit and attribution	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_017639655.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_976974455.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965282525.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_023634085.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963210335.1/dataset_report	reciprocal 1:1 syntenic orthology, repeat/duplication/base-quality masks, per-taxon coverage, branch opportunity counts, and annotation-phase audit; sex chromosomes excluded from primary	Primary executable phylogenetic pilot; falcon introgression/ILS and heterogeneous assembly/annotation quality require topology and neutral-partition sensitivities; substitution bias is not direct conversion
H03	historical_phylogenetic	alternate_panel_1	DESIGN_ONLY_ALTERNATE	VGP delphinid close-clade panel	Delphinidae	Pseudorca_crassidens=GCA_039906515.1;Globicephala_melas=GCA_963455315.2;Orcinus_orca=GCA_937001465.1;Tursiops_truncatus=GCA_011762595.2;Delphinus_delphis=GCA_949987515.2	five distinct delphinid species; Pseudorca is the VGP focal	at least 3 ingroup plus 2 outgroups; same callable/ancestral-state gate as H01/H02	Pseudorca 2674592094 bp/561 contigs; Globicephala 2651276051 bp/2076; Orcinus 2647335075 bp/570; Tursiops 2378505825 bp/1035; Delphinus 2663516986 bp/1598	GCF_039906515.1-RS_2024_08; GCF_963455315.2-RS_2024_11; GCF_937001465.1-RS_2023_02; GCF_011762595.2-RS_2025_04; GCF_949987515.2-RS_2024_10	NCBI molecular sequence policy plus assembly-specific VGP/G10K publication-status audit and attribution	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_039906515.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_963455315.2/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_937001465.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_011762595.2/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_949987515.2/dataset_report	same as H01, with cetacean-specific repeat masks and chromosome-synteny audit	Ranked alternate if either primary panel fails a pre-result identity, orthology, topology, or minimum-callability gate; larger genomes make it a higher-cost alternate
H04	historical_phylogenetic	alternate_panel_2	DESIGN_ONLY_ALTERNATE	VGP syngnathid close-clade panel	Syngnathidae plus stickleback root	Syngnathus_typhle=GCA_048301445.1;Syngnathus_rostellatus=GCA_965643225.1;Syngnathus_acus=GCA_901709675.2;Hippocampus_hippocampus=GCA_965263715.1;Pungitius_pungitius=GCA_949316345.1	four syngnathid species plus one stickleback root; S. typhle is the VGP alternate focal	at least 3 ingroup plus 2 polarization paths; if a single distant root cannot resolve a branch, add a second exact outgroup before execution rather than force a state	S. typhle 368283750 bp/229 contigs; S. rostellatus 378812902 bp/150; S. acus 324331233 bp/130; Hippocampus 452180031 bp/119; Pungitius 480434100 bp/912	S. typhle GCA_048301445.1-GB_2025_08_16; S. acus GCF_901709675.1 Annotation Release 100; Pungitius GCF_949316345.1-RS_2024_01; no native annotation on exact S. rostellatus or Hippocampus snapshot	NCBI molecular sequence policy plus assembly-specific VGP/G10K publication-status audit and attribution	https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_048301445.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965643225.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_901709675.2/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_965263715.1/dataset_report;https://api.ncbi.nlm.nih.gov/datasets/v2/genome/accession/GCA_949316345.1/dataset_report	same as H01, but the second-outgroup gate is unresolved until acquisition and therefore this panel is not executable as written	Second ranked alternate; must add and freeze a second distinct outgroup before activation, so it cannot silently replace H01/H02
N01	non_allelic	primary_design	NOT_RUN_DESIGN_ONLY	Human Pangenome Reference Consortium Release 1 plus T2T-CHM13v2.0	Homo sapiens	PRJNA730822; GCA_009914755.4	47 phased diploid individuals (94 haplotype assemblies) plus complete haploid CHM13 reference; analyze paralog families and segmental duplications only after haplotype-specific copy inventory and locus anchoring	at least 3 distinguishable copies in an orthogroup and at least 5 independent diploid individuals with the same copy-state class; population-frequency claims require a larger prespecified stratum	94 phased haplotypes from 47 individuals, approximately 94 x 3.0 Gb assembled sequence; CHM13v2.0 3117292070 bp/25 contigs	HPRC release-1 assembly annotations and pangenome graph frozen by digest; CHM13 GCA_009914755.4 / RefSeq GCF_009914755.1 and CHM13v2.0 annotation; SD track and copy-number truth inputs frozen separately	HPRC Release 1 is publicly available without restriction; acknowledge participants/consortium; NCBI policy applies to CHM13; verify sample-specific consent and current release terms before activation	https://humanpangenome.org/release-timeline/;https://www.ncbi.nlm.nih.gov/bioproject/PRJNA730822;https://www.ncbi.nlm.nih.gov/datasets/genome/GCA_009914755.4/;https://www.nature.com/articles/s41586-023-05895-y	copy-complete haplotype assembly, unique flanking anchors, read-depth/k-mer copy validation, orthology/paralogy gene tree, allelic-haplotype separation, and exclusion of collapsed or unresolved copies	Design only; detects non-allelic copy homogenization candidates, not meiotic allelic conversion or gBGC; cell-line/assembly errors and recurrent mutation remain alternative explanations
N02	non_allelic	alternate_design	NOT_RUN_DESIGN_ONLY	Human Genome Structural Variation Consortium phase 2	Homo sapiens	PRJEB36100	32 diverse diploid genomes represented by 64 haplotype-resolved long-read/Strand-seq assemblies	at least 3 resolved copies in at least 5 independent diploid individuals sharing the copy-state class	64 assembled haplotypes from 32 individuals; BioProject reports 1.32 TB sequence and assembly data	GRCh38 plus HGSVC phased assembly/variant release frozen by digest; assembly-specific gene/SD annotations must be generated or frozen without projecting copy identity by coordinate alone	Public ENA/IGSR resource; consent, repository terms, and consortium citation apply	https://www.ncbi.nlm.nih.gov/bioproject/PRJEB36100;https://www.internationalgenome.org/data-portal/data-collections/hgsvc2.html;https://www.ncbi.nlm.nih.gov/pmc/articles/PMC8026704/	same copy-aware contract as N01; require Strand-seq phase consistency and long-read support at each copy boundary	Alternate only under a separately authorized non-allelic task; older assemblies incompletely resolve many high-identity SDs, so copy-resolution failure produces no call rather than a negative result
