check_id	category	subject	decision	observed	expected	evidence	notes
promoted_gate_recompute	reproducibility	analysis/vgp_pilot_gate.json	PASS	stable_fields_match	stable_fields_match	analysis/vgp_pilot_gate.json	Fresh gate recomputation matched the promoted gate on all stable fields.
run_manifest_recompute	reproducibility	analysis/vgp_pilot_run_manifest.tsv	PASS	normalized_rows=4	normalized_rows=4	analysis/vgp_pilot_run_manifest.tsv; analysis/run_vgp_pilot.py	Normalized rerun manifest matched the promoted refusal artifact.
telemetry_recompute	reproducibility	analysis/vgp_pilot_slurm_telemetry.tsv	PASS	normalized_rows=1	normalized_rows=1	analysis/vgp_pilot_slurm_telemetry.tsv; analysis/run_vgp_pilot.py	Normalized refusal telemetry matched the promoted artifact.
results_recompute	reproducibility	analysis/vgp_pilot_results.tsv	PASS	normalized_rows=1	normalized_rows=1	analysis/vgp_pilot_results.tsv; analysis/run_vgp_pilot.py	Normalized refusal results matched the promoted artifact.
exclusions_recompute	reproducibility	analysis/vgp_pilot_exclusions.tsv	PASS	normalized_rows=4	normalized_rows=4	analysis/vgp_pilot_exclusions.tsv; analysis/run_vgp_pilot.py	Normalized refusal exclusions matched the promoted artifact.
refusals_recompute	reproducibility	analysis/vgp_pilot_refusals.tsv	PASS	normalized_rows=1	normalized_rows=1	analysis/vgp_pilot_refusals.tsv; analysis/run_vgp_pilot.py	Normalized refusal evidence matched the promoted artifact.
refusal_evidence_sha256	immutability	analysis/vgp_pilot_refusals.tsv	PASS	promoted=true; recomputed=true	promoted=true; recomputed=true	analysis/vgp_pilot_refusals.tsv; analysis/run_vgp_pilot.py	Both refusal rows retain valid self-digests over the exact unnormalized evidence.
sweepga_origin_build	scientific_preconditions	analysis/sweepga_origin_main_build.json	PASS	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	fa7f0edb9b7e275c288db254046020e136d4267dd5ee043379227ef80da0573b	analysis/sweepga_origin_main_build.json	Accepted native SweepGA build remained byte-identical and recorded native 1:1 multiplicity rechecks.
impg_native_annotation_linkage	scientific_preconditions	analysis/sweepga_impg_observed.json	PASS	native_exact_assembly_submitted_annotation	native_exact_assembly_submitted_annotation	analysis/sweepga_impg_observed.json	The IMPG handoff stayed pinned to the exact H1 native annotation.
impg_denominator_linkage	scientific_preconditions	analysis/sweepga_impg_observed.json	PASS	callable_bp=14507; queryable_gene_count=3; queryable_gene_bp=14507	all positive	analysis/sweepga_impg_observed.json	The promoted IMPG smoke artifact retained positive callable and queryable denominators.
impg_mapping_multiplicity	scientific_preconditions	analysis/sweepga_impg_observed.json	PASS	query_depth=1; target_depth=1	query_depth=1; target_depth=1	analysis/sweepga_impg_observed.json	Observed SweepGA multiplicity remained native 1:1.
