estimand_id	branch	execution_state	estimand	unit_and_denominator	minimum_samples_or_taxa	callable_opportunity	identifiability_boundary	primary_model_and_null_simulation	polarization_error_control	mutation_bias_and_demography_control	linkage_recombination_or_phylogeny_control	multiple_testing	output_contract
D_EVT	direct	AUTHORIZED_DOWNSTREAM_PILOT	callable allelic meiotic conversion-event rate	confirmed conversion events per callable complete meiosis and per callable informative-marker opportunity; report CO-associated and NCO-associated separately	pilot: all 13 D01 complete tetrads; claim-grade transfer within the assayed cross: at least 50 independent complete meioses and at least 20 confirmed events	for each meiosis, the union of intervals in which both parental haplotypes differ at an informative marker and all four products pass depth, mapping, copy-number, segregation, and phase filters	complete four-product segregation identifies a non-Mendelian 3:1/1:3 allelic conversion pattern and donor/recipient allele; events shorter than marker spacing are interval-censored and unobservable events are not imputed as counts	beta-binomial or Poisson-binomial rate with meiosis-specific callable opportunity; simulate Mendelian tetrads under empirical depth/error, parental marker spacing, rearrangements, and phase/calling error; event truth requires reciprocal tetrad consistency	WS/SW direction follows known Col/Ler parental alleles and all four products; ambiguous/multiallelic or receptor-Cvi states are excluded, and W/S labeling is audited after strand normalization	context-stratified parental marker opportunities and reciprocal SW/WS error controls; no demographic model is relevant to a direct tetrad event count	CO breakpoints inferred from reciprocal haplotype switches; clustered errors and marker linkage preserved in chromosome-block simulations; meiosis is the independent unit	one preregistered primary total-rate test; Holm correction across CO/NCO and direction strata; exploratory loci use BH q<=0.05 plus BY sensitivity	per_meiosis_callable.tsv;events.tsv with event_id, donor, recipient, 3:1/1:3 state, CO class, inner/outer bounds, quality and reasons;rate_summary.tsv with exact intervals
D_TRACT	direct	AUTHORIZED_DOWNSTREAM_PILOT	conversion-tract length distribution	base pairs, interval-censored between innermost converted and flanking nonconverted informative markers	at least 20 confirmed events for any distributional fit; otherwise list event bounds and median bounds only	events with two flanking informative markers on both sides and no mask discontinuity; single-marker events retain bounds but do not enter point-length fitting	tract endpoints are not identified between markers; report Turnbull/nonparametric interval-censored distribution, never midpoint lengths as observations	interval-censored survival likelihood; simulate tracts drawn on empirical marker/callability maps and pass through the caller; compare recovered vs injected distribution	parental allele direction as in D_EVT; no tract receives WS/SW label without an informative mismatch inside it	marker-density/context stratification; de novo mutation and sequencing-error mixtures estimated from Mendelian 2:2 sites	stratify CO-associated vs NCO; preserve chromosome and meiosis clustering in bootstrap	Holm for CO-vs-NCO distribution contrasts; no genome-window p-values from event-poor pilot	tract_summary.tsv with inner_bp, outer_bp, censoring class, CO class, bootstrap interval, and insufficient_events flag
D_CO	direct	AUTHORIZED_DOWNSTREAM_PILOT	association of conversion with crossover	odds/rate ratio of confirmed conversion opportunity near CO versus matched non-CO opportunity; descriptive distance-to-CO distribution	at least 20 confirmed conversion events and 20 meioses for a fitted association; D01 below threshold is descriptive only	callable informative bases in preregistered distance bins around CO breakpoints and chromosome/marker-density matched control intervals	tetrads identify CO association at marker resolution, not molecular DSB association or causation	conditional logistic/Poisson model matched by meiosis, chromosome, marker density, GC, and callability; null rotates CO labels within callable chromosome arms and re-runs detection	irrelevant for CO location; WS/SW subtype only after direct parental polarization	context and marker density covariates; no demographic inference	CO breakpoint uncertainty integrated; chromosome-arm permutations preserve recombination landscape	one primary near-CO contrast; Holm across distance bins if more than one is interpreted	crossover_association.tsv with opportunities, events, effect, interval, permutation p, and resolution bounds
D_GCBIAS	direct	AUTHORIZED_DOWNSTREAM_PILOT	GC transmission distortion among informative converted mismatches	Pr(transmitted/converted allele is S | ancestral/donor-recipient pair is WS or SW), or S-versus-W converted count conditional on heterozygous W/S mismatches	at least 100 independent informative W/S converted mismatches across at least 50 meioses for a claim-grade distortion estimate; otherwise exact binomial interval and NOT_ESTIMABLE_POWER flag	only directly polarized W/S mismatches inside confirmed conversion events where all four products and both parents are callable; one event is the cluster unit	directly identifies biased resolution in this cross when thresholds pass; it does not identify a vertebrate-wide rate or explain historical GC content	cluster-weighted binomial/mixed logistic model with one contribution per event sensitivity; null is 0.5 after conditioning on reciprocal detectability, simulated through context/depth/allele-balance error	known parental haplotypes and full tetrad establish direction; strand-complement normalization and reciprocal WS/SW spike-ins bound asymmetric errors	condition on 3-mer/5-mer, parental direction, allele balance, marker density, and callable S/W opportunities; demography is inapplicable	event/meiosis random effects; CO association is a covariate, not a substitute for direct bias	one primary S-over-W test; familywise Holm for CO/NCO, parental-direction, and context sensitivities	gc_transmission.tsv with informative event count, S and W counts, estimate, exact/cluster bootstrap interval, threshold status, and no_cross_species_extrapolation flag
P_SFS	population	NOT_RUN_DESIGN_ONLY	polarized or polarization-aware WS-versus-SW derived allele-frequency spectra	counts and normalized density per derived-count bin divided by context-specific callable monomorphic plus polymorphic opportunities	at least 50 unrelated diploid individuals from one same-population stratum after QC; preregistered P01 YRI stratum targeted; replicate populations are separate strata	autosomal copy-two neutral sites callable in at least 95% of samples with ancestral-state posterior and matched 3-mer/5-mer opportunity; one SNP contributes once with genotype uncertainty	detects a frequency-spectrum asymmetry compatible with gBGC after controls; does not identify parent-of-origin, conversion events, tract length, or transmission rate	joint composite likelihood for WW/SS, WS, SW, and GC-conservative spectra under fitted demography; null sets B=0 while retaining mutation matrix, linked blocks, missingness, and polarization error; posterior predictive coalescent simulations	use two exact-version outgroups plus ancestral-state posterior; fit mispolarization epsilon by context and divergence; repeat folded analysis and exclude outgroup-discordant sites; never force ambiguous states	fit context-dependent mutation matrix from rare variants/de novo external sensitivity and jointly infer a flexible demographic history from GC-conservative sites; mask coding/conserved/selected sequence in primary; model ancestry/kinship and do not pool structured populations	block composite likelihood in recombination-map bins; LD-aware block bootstrap; stratify by recombination quintile using frozen sex-averaged map, with physical distance only as labeled proxy	one primary WS-vs-SW spectrum contrast per population; Holm across preregistered populations; BH q<=0.05 for exploratory bins/annotations with block-level BY sensitivity	population_sfs.tsv with raw/normalized bins and polarization posterior;population_qc.tsv;posterior_predictive.tsv; explicit NOT_RUN_DESIGN_ONLY in current synthesis
P_B	population	NOT_RUN_DESIGN_ONLY	model-dependent population gBGC strength B	B=4*N_e*b under the declared diploid diffusion convention, with posterior/likelihood interval; b and N_e are not separately identified from the SFS without external assumptions	same n>=50 same-population design; require at least 1,000 callable polymorphic WS and 1,000 SW sites after all masks for a fitted B	context- and recombination-stratified WS/SW polymorphic and invariant opportunities passing P_SFS	B is conditional on mutation, demography, linkage, structure, selection mask, and polarization model; it is not a direct tract rate, event count, or universal species property	joint diffusion/composite-likelihood fit of demography, mutation nuisance, epsilon polarization, and B; null B=0; simulate genomes under fitted demography/recombination/mutation with and without B and pass through missingness/polarization pipeline	same mixture/folded/outgroup-discordance controls as P_SFS; epsilon uncertainty propagated rather than corrected once	GC-conservative spectra identify demography; 3-mer/5-mer mutation rates and rare-variant sensitivity identify mutation asymmetry; linked/background selection masks and alternative demographic families bound model dependence	empirical or pedigree recombination map frozen by digest; fit recombination strata; block jackknife at >=5-Mb or map-defined independent blocks; compare physical-distance proxy only as sensitivity	likelihood-ratio calibration by parametric bootstrap; one primary B; Holm across populations/recombination interactions; report unadjusted intervals plus adjusted decision	population_B.tsv with convention, nuisance parameters, interval, model family, posterior predictive checks, sensitivity envelope, and direct_rate=false
H_SUB	historical_phylogenetic	AUTHORIZED_DOWNSTREAM_PILOT	branch-specific WS/SW substitution asymmetry	N_WS/N_WS_opportunity versus N_SW/N_SW_opportunity and log rate ratio per branch/partition	minimum 3 ingroup species plus 2 distinct outgroups; at least 10,000 callable neutral aligned bases and at least 20 WS plus 20 SW substitutions per interpreted branch/partition; otherwise descriptive counts only	reciprocal 1:1 single-copy orthologous aligned bases callable in all taxa needed for that branch; opportunity is ancestral W or S base in the same context and partition	identifies long-term branch substitution asymmetry compatible with gBGC-like fixation bias; not direct meiotic events, current transmission distortion, or population B	context-dependent nonstationary phylogenetic substitution model with branch parameters; null equal WS/SW fixation component after mutation opportunity; parametric simulations on fitted species/gene trees with empirical gaps, masks, GC, branch lengths, and annotation error	two-outgroup agreement or posterior ancestral-state integration; exclude discordant sites in primary; fit branch/context mispolarization; repeat transversion-only and high-posterior sensitivities	separate mutation opportunity by ancestral 3-mer/5-mer and fit GC-conservative rates; compare neutral, fourfold, coding, intronic, and intergenic partitions without treating coding as neutral; no present-day demographic parameter inferred	species-tree primary with multispecies-coalescent/local-gene-tree sensitivity, branch-length uncertainty, chromosome block jackknife, recombination proxies from linkage maps when available or syntenic GC/recombination covariates explicitly labeled proxies	one primary neutral focal-branch contrast per H01/H02; Holm across two focal panels; branch/partition exploration BH q<=0.05 and BY sensitivity under dependence	branch_substitution.tsv with opportunity/count/rate by context and partition;tree_sensitivity.tsv;polarization_qc.tsv;historical_only=true
H_GBGC	historical_phylogenetic	AUTHORIZED_DOWNSTREAM_PILOT	long-term gBGC-like substitution-bias parameter	branch-specific fixation-bias/log-rate component or equilibrium GC* under the exact nonstationary model; never labeled population B without a population model	H_SUB minima plus at least 100 total directionally informative substitutions on a branch for a fitted continuous bias parameter	same H_SUB callable opportunities, with branch and context assignment posterior	model-identifiable historical bias only under the substitution/mutation/tree model; cannot be converted to events per meiosis, tract length, b, or 4N_e b	fit mutation-selection-like nonstationary model where a gBGC-like coefficient changes WS/SW fixation; compare B-like coefficient zero by parametric bootstrap; simulate incomplete lineages and ILS	ancestral-state posterior integrated and epsilon sensitivity; require qualitative sign stability under both outgroups	context-specific mutation process, CpG-excluded primary and CpG-included sensitivity; neutral partition primary; coding selection kept separate	species-tree/gene-tree/topology and branch-length sensitivities; window/block bootstrap; recombination correlation is supporting heterogeneity only	Holm across two primary focal branches; exploratory branches/partitions BH and BY sensitivity	historical_bias.tsv with parameter name/convention, branch, partition, model, interval, null calibration, model-dependence warning, and not_direct_events=true
H_CLUSTER	historical_phylogenetic	AUTHORIZED_DOWNSTREAM_PILOT	clustering of same-branch WS substitutions	cluster count/length and excess pair correlation relative to context/opportunity-matched null	at least 50 branch-polarized WS substitutions and 20 Mb callable sequence for cluster inference; otherwise no clustering claim	high-posterior branch-assigned substitutions in continuous callable single-copy alignment segments	clusters are candidate historical signatures; alignment error, multinucleotide mutation, hotspots, selection, and recurrent mutation can produce them, so clusters do not establish conversion tracts	inhomogeneous Poisson/renewal null preserving context, chromosome, callable gaps, local mutation rate, and branch opportunity; parametric substitution simulations include multinucleotide events	retain only high-posterior branch assignments in primary and simulate inferred epsilon	context and local GC/mutation covariates; exclude coding/conserved primary	preserve chromosome/synteny blocks and fitted local rate; recombination proxy enrichment is secondary	family of cluster scales corrected by maxT permutation; exploratory loci BH q<=0.05	candidate_historical_clusters.tsv with null exceedance, alternative explanations, and candidate_only=true
N_TRACT	non_allelic	NOT_RUN_DESIGN_ONLY	copy-aware candidate non-allelic conversion tracts	tract count and inner/outer length bounds per orthogroup/haplotype, conditional on resolved copy inventory	at least 3 distinguishable paralog copies in 5 independent diploid individuals with the same copy-state class; claim of recurrence requires support in at least 3 independent individuals	copy-complete, uniquely flank-anchored paralog sequence with long-read/k-mer/read-depth support, copy-number state, gene tree, and no allelic collapse	detects sequence homogenization more consistent with non-allelic conversion than the declared null; it is not allelic meiotic conversion, gBGC transmission, or a population B	GENECONV-like maximal identical-fragment statistic on copy alignments; null permutes polymorphic-site labels conditional on copy tree, divergence, context, gaps, and tract-search space; coalescent/gene-tree simulations include recurrent mutation, unequal crossing-over, and assembly errors	copy donor/recipient direction is generally unidentifiable without a rooted copy tree and informative outgroup copy; unknown direction remains unknown; W/S bias is not inferred	context-dependent mutation and recurrent-mutation null; copy-age/gene-tree uncertainty; population demography not invoked unless multi-individual frequency is explicitly modeled	copy tree reconciled to species tree; physical linkage and tandem/interspersed class stratified; individual is the outer resampling unit and haplotypes remain nested	one primary orthogroup family only if preregistered; maxT within orthogroup and Holm across orthogroups; exploratory tract scans BH plus permutation FDR	copy_inventory.tsv;paralog_gene_trees.tsv;nonallelic_candidate_tracts.tsv;null_calibration.tsv;allelic=false
