budget_version	row_type	stage_or_dataset	cohort_definition	species_count	scenario	genome_h1_gbp	contig_count	annotation_uncompressed_gb	mapping_records_thousands	callable_fraction	cpus_per_element	concurrency_cap	core_hours	peak_resident_or_requested_memory_gib_per_element	wall_hours_per_element	catalog_or_stage_wall_hours	local_scratch_peak_gb	persistent_input_gb	persistent_output_gb	temporary_amplification_x	file_inode_count	moosefs_read_gb	moosefs_write_gb	metadata_operations	peak_aggregate_bandwidth_mib_s	measurement_status	formula_or_source	uncertainty_and_pilot_resolution
plan-v1	calibration	menidia_menidia_fMenMen1	completed_three_species_Tier3A	1	observed	0.571260	457	0.442828	3.353	0.006165	8	1	2.4044	64_requested_actual_UNAVAILABLE	0.3006	0.3006	UNAVAILABLE	2.610922	0.785924	UNAVAILABLE	1293	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	wall_input_output_inode_observed;memory_requested_only	results/tier3a/acquisition_corrected_manifest.tsv;results/tier3a/logs/origin-remap-1761751-1761781.sacct;du/find_2026-07-17	MaxRSS TotalCPU scratch peak MooseFS bytes ops and bandwidth were not captured
plan-v1	calibration	spinachia_spinachia_SK-2024b	completed_three_species_Tier3A	1	observed	0.407542	38	0.552085	0.753	0.007444	8	1	0.6222	64_requested_actual_UNAVAILABLE	0.0778	0.0778	UNAVAILABLE	1.974503	0.334960	UNAVAILABLE	1273	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	wall_input_output_inode_observed;memory_requested_only	results/tier3a/acquisition_corrected_manifest.tsv;results/tier3a/logs/origin-remap-1761751-1761781.sacct;du/find_2026-07-17	MaxRSS TotalCPU scratch peak MooseFS bytes ops and bandwidth were not captured
plan-v1	calibration	tautogolabrus_adspersus_fTauAds1	completed_three_species_Tier3A	1	observed	0.723566	64	0.313487	1.972	0.005644	8	1	0.8578	64_requested_actual_UNAVAILABLE	0.1072	0.1072	UNAVAILABLE	2.550178	0.296308	UNAVAILABLE	1296	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	wall_input_output_inode_observed;memory_requested_only	results/tier3a/acquisition_corrected_manifest.tsv;results/tier3a/logs/origin-remap-1761751-1761781.sacct;du/find_2026-07-17	MaxRSS TotalCPU scratch peak MooseFS bytes ops and bandwidth were not captured
plan-v1	calibration	tier3c_135_primary	completed_Tier3C_composition_batch	135	observed	MIXED	MIXED	MIXED	NA	NA	2	MIXED	18.2228	3.398_mean;15.631_max	0.0675_mean;0.0492_median;0.2658_max	9.1114_sum_serial	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	UNAVAILABLE	wall_and_process_MaxRSS_observed	analysis/tier3c_scheduler_telemetry.tsv;135 primary rows;32801 elapsed seconds	Input size scratch inode and MooseFS counters absent; batch includes non-vertebrates and is timing calibration only
plan-v1	estimate	inventory_preflight	714 reported unique species; metadata only	714	low	NA	NA	NA	NA	NA	2	2	4	4	0.0028	2	1	0.1	0.1	2	3000	1	1	5000	5	planning_bound	metadata parse and cached official API lookups	Raw TSV absent; no sequence downloads; pilot must benchmark API and metadata load
plan-v1	estimate	inventory_preflight	714 reported unique species; metadata only	714	base	NA	NA	NA	NA	NA	2	4	12	8	0.0084	6	2	0.5	0.5	3	10000	5	5	20000	10	planning_bound	metadata parse plus versioned reports and evidence cache	Catalog count and response sizes must be recomputed after content lock
plan-v1	estimate	inventory_preflight	714 reported unique species; metadata only	714	high	NA	NA	NA	NA	NA	2	4	30	16	0.0210	24	4	2	2	5	30000	20	20	80000	20	planning_bound	retry and taxonomy-history sensitivity	Stop on rate limit or source drift; no bulk asset staging
plan-v1	estimate	stratified_pilot	8 slots; up to 6 paired Tier3A plus all 8 Tier3C	8	low	0.5	50	0.25	0.8	0.60	8	2	4	32	0.06	0.3	12	13	2	2	10000	12	15	30000	50	planning_bound	calibration minima plus composition telemetry	Pilot captures every missing telemetry dimension
plan-v1	estimate	stratified_pilot	8 slots; up to 6 paired Tier3A plus all 8 Tier3C	8	base	1.2	500	0.60	2.0	0.40	8	2	22	64	0.35	1.4	45	40	6	3	18000	45	50	100000	80	planning_bound	Tier3A model plus 8 Tier3C at mean observed rate	No pilot starts without separate download and compute authorization
plan-v1	estimate	stratified_pilot	8 slots; up to 6 paired Tier3A plus all 8 Tier3C	8	high	3.5	5000	2.0	5.0	0.10	8	2	280	96	4.5	17.5	150	160	32	5	60000	180	200	500000	120	planning_bound	large fragmented high-multiplicity genome envelope	Pilot must stop if per-element scratch memory or bandwidth exceeds 80 percent allocation
