manifest_version	estimand	stratum	status	numerator	denominator	estimate	ci_lower	ci_upper	unit	uncertainty_method	reason_or_interpretation	analysis_slurm_job_id
direct-gene-conversion-pilot-v1.0.0	PILOT_DISPOSITION	D01	NOT_EXECUTED_INPUT_GATE	0 validated events	0 callable meioses/bases established	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	decision	not applicable	direction and complete relationships pass, but raw evidence, callable masks, paralog/mapping/copy QC, and error calibration fail	1781172
direct-gene-conversion-pilot-v1.0.0	RELATIONSHIP_MEIOSES_AUDITED	all tetrads	AUDITED_METADATA	13 complete tetrads;52 products	13 independent male meioses	13	13	13	meioses	exact metadata count	all four products present for every frozen tetrad; 5 high-depth and 8 shallow	1781172
direct-gene-conversion-pilot-v1.0.0	REFERENCE_NUCLEAR_SPAN	TAIR10.1	AUDITED_REFERENCE_NOT_CALLABLE	119146348	five nuclear chromosomes	119146348	119146348	119146348	bp	exact sequence count	reference span is not a callable meiotic denominator	1781172
direct-gene-conversion-pilot-v1.0.0	PUBLISHED_FILTERED_MARKERS	common study list	AUDITED_NOT_CALLABLE	137339	published supplement 2B	137339	137339	137339	parental marker sites	exact table count	no per-product depth/genotype/mapping state; cannot substitute for callable opportunity	1781172
direct-gene-conversion-pilot-v1.0.0	PUBLISHED_WS_MARKERS	simple SNVs in common study list	AUDITED_NOT_CALLABLE	102299	137338	102299	102299	102299	W/S parental marker sites	exact table count	directionally informative simple-SNV design sites only; indels/complex markers excluded; not converted or callable sites	1781172
direct-gene-conversion-pilot-v1.0.0	DESIGN_MARKER_MEIOSIS_OPPORTUNITIES	13 tetrads x common marker list	NOT_A_CALLABLE_DENOMINATOR	1785407	137339 markers x 13 tetrads	1785407	1785407	1785407	marker-meiosis design cells	arithmetic audit	reported solely to prevent accidental use as callable opportunity	1781172
direct-gene-conversion-pilot-v1.0.0	PUBLISHED_DIRECTIONAL_CANDIDATE_TRACTS	all	PUBLISHED_ONLY_EXCLUDED	58	44 CO-associated + 14 NCO	58	58	58	published candidate tracts	exact table reconciliation	direct direction is present, but no candidate passes independent raw/paralog/error validation	1781172
direct-gene-conversion-pilot-v1.0.0	PUBLISHED_DIRECTIONAL_CANDIDATE_TRACTS	crossover-associated	PUBLISHED_ONLY_EXCLUDED	44	71 exactly localized high-depth crossovers	44	44	44	published candidate tracts	exact table reconciliation	conversion-marker-containing COCT rows; 71/131 COs are exact and only five high-depth tetrads contribute	1781172
direct-gene-conversion-pilot-v1.0.0	PUBLISHED_DIRECTIONAL_CANDIDATE_TRACTS	non-crossover	PUBLISHED_ONLY_EXCLUDED	14	five high-depth tetrads	14	14	14	published candidate tracts	exact unique event-ID count	PCR primers are an assay inventory, not raw sequence validation in this run; IDs 4 and 9 are absent from accepted published NCO table	1781172
direct-gene-conversion-pilot-v1.0.0	VALIDATED_ALLELIC_EVENTS	all	NOT_ESTIMABLE_INPUT_GATE	0 admitted	callable opportunity unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	validated events	not applicable	zero is an admitted-analysis count, not evidence that biological events are absent	1781172
direct-gene-conversion-pilot-v1.0.0	D_EVT_RATE_PER_MEIOSIS	all	NOT_ESTIMABLE_INPUT_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	callable complete meioses unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	validated events/callable meiosis	exact/cluster interval not computable	five-versus-eight depth ascertainment and absent raw callability forbid a rate	1781172
direct-gene-conversion-pilot-v1.0.0	D_EVT_RATE_PER_BASE	all	NOT_ESTIMABLE_INPUT_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	callable base-meiosis unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	validated events/callable bp/meiosis	Poisson interval not computable	TAIR10 span and marker list are not callable base-meiosis denominators	1781172
direct-gene-conversion-pilot-v1.0.0	D_EVT_RATE_PER_MEIOSIS	crossover-associated	NOT_ESTIMABLE_INPUT_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	callable complete meioses unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	validated events/callable meiosis	exact/cluster interval not computable	five-versus-eight depth ascertainment and absent raw callability forbid a rate	1781172
direct-gene-conversion-pilot-v1.0.0	D_EVT_RATE_PER_BASE	crossover-associated	NOT_ESTIMABLE_INPUT_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	callable base-meiosis unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	validated events/callable bp/meiosis	Poisson interval not computable	TAIR10 span and marker list are not callable base-meiosis denominators	1781172
direct-gene-conversion-pilot-v1.0.0	D_EVT_RATE_PER_MEIOSIS	non-crossover	NOT_ESTIMABLE_INPUT_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	callable complete meioses unavailable	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	NOT_ESTIMABLE_RAW_EVIDENCE_AND_CALLABILITY_GATE	validated events/callable meiosis	exact/cluster interval not computable	five-versus-eight depth ascertainment and absent raw callability forbid a rate	1781172
