scope	metric	unit	predicted_low	predicted_base	predicted_high	authorized_cap	observed	decision	evidence	notes
pilot_refusal	aggregate_core_hours	core-h	4	22	280	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	Observed value stayed within the authorized cap; the empty selection under the NO_GO gate collapsed the executable cap to zero for aggregate usage.
pilot_refusal	aggregate_wall_hours	h	0.3	1.4	17.5	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	Observed value stayed within the authorized cap; the empty selection under the NO_GO gate collapsed the executable cap to zero for aggregate usage.
pilot_refusal	peak_memory_gib_per_job	GiB	32	64	96	0		INCONCLUSIVE	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	No Slurm job was submitted, so this per-job metric was never observed.
pilot_refusal	peak_local_scratch_gb	GB	12	45	150	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	Observed value stayed within the authorized cap; the empty selection under the NO_GO gate collapsed the executable cap to zero for aggregate usage.
pilot_refusal	persistent_input_gb	GB	13	40	160	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv; analysis/vgp_pilot_run_manifest.tsv	Refused preflight execution created no pilot downloads, persistent outputs, or retained inodes.
pilot_refusal	persistent_output_gb	GB	2	6	32	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv; analysis/vgp_pilot_run_manifest.tsv	Refused preflight execution created no pilot downloads, persistent outputs, or retained inodes.
pilot_refusal	file_inodes	count	10000	18000	60000	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv; analysis/vgp_pilot_run_manifest.tsv	Refused preflight execution created no pilot downloads, persistent outputs, or retained inodes.
pilot_refusal	moosefs_read_gb	GB	12	45	180	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	Observed value stayed within the authorized cap; the empty selection under the NO_GO gate collapsed the executable cap to zero for aggregate usage.
pilot_refusal	moosefs_write_gb	GB	15	50	200	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	Observed value stayed within the authorized cap; the empty selection under the NO_GO gate collapsed the executable cap to zero for aggregate usage.
pilot_refusal	metadata_operations	count	30000	100000	500000	0	0	PASS	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	Observed value stayed within the authorized cap; the empty selection under the NO_GO gate collapsed the executable cap to zero for aggregate usage.
pilot_refusal	peak_bandwidth_mib_s	MiB/s	50	80	120	0		INCONCLUSIVE	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	No Slurm job was submitted, so this per-job metric was never observed.
pilot_refusal	cpus_per_element	count	8	8	8	8		INCONCLUSIVE	analysis/vertebrate_scaleout_resource_budget.tsv; analysis/vgp_pilot_slurm_telemetry.tsv	No Slurm job was submitted, so this per-job metric was never observed.
