selection_id	quantity	production_status	independent_status	comparison	interpretation
P07	normalized_variants	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P07	callable_mask	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P07	callable_denominator	not_materialized	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P07	mask_reason_total	not_materialized	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P07	diversity	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P07	diploid_consensus	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P07	psmc_input_and_unscaled_result	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P07	psmc_bootstraps	not_applicable_no_attempts	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	normalized_variants	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	callable_mask	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	callable_denominator	not_materialized	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	mask_reason_total	not_materialized	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	diversity	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	diploid_consensus	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	psmc_input_and_unscaled_result	not_run_preflight_failed	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
P08	psmc_bootstraps	not_applicable_no_attempts	not_eligible_for_recomputation_preflight_failed	MATCH_NOT_MATERIALIZED_PRECHECK_FAILED	no biological value; absence agrees and is not a passing zero
