claim_id	prior_claim_id	prior_classification	corrected_classification	corrected_statement	evidence	forbidden_inference
CORE-BOUNDED-TRIO	DIV-ASSEMBLY	supported	supported	Three bounded, independently reviewed same-individual H1/H2 assembly-derived diversity results are accepted: P07 pi=0.0011704028495181033 (316,631/270,531,638), P03 pi=0.0018643536651303744 (1,632,584/875,683,638), P02 pi=0.0024564622145154306 (4,195,014/1,707,746,195). The prior two-result synthesis (P07 574,122 whole-genome and P04) is superseded as the program's primary evidence; P04 is retained separately as a prior-lineage result.	analysis/vgp_three_pair_execution_v2.json; analysis/vgp_three_pair_independent_review_v1.md	not population heterozygosity or species means; one phased pair per individual (review B-1)
TRIO-OBSERVED-RANGE	DIV-ASSEMBLY	supported	bounded	The observed assembly-derived range across the accepted bounded trio is 0.0011704028495181033 to 0.0024564622145154306 per callable base (2.098818-fold). This is a within-pipeline, three-observation computational range, explicitly not a validated vertebrate biological range.	derived from analysis/vgp_three_pair_execution_v2.json	must not be reported as a vertebrate diversity range (supersedes the 2.144254-fold claim)
P07-DISPOSITION	DIV-P07-FAIL	supported	reclassified_unresolved_discordance	P07 is reclassified from assembly-invalid (concrete_haplotype_reconstruction_failure) to UNRESOLVED READ/ASSEMBLY DISCORDANCE. The prior label was derived from H1-only read evidence against the rejected clean/global-lace callset (574,122 SNPs), not the accepted bounded callset (316,631 SNPs); no symmetric H1/H2/graph representation test exists (review I-1, decision INCONCLUSIVE). No concrete sequence, provenance, or projection defect has been demonstrated for the bounded result, so the bounded pi and PSMC remain admitted assembly-derived estimates carrying the review's assembly-confidence caveats A-1/A-2.	analysis/vgp_three_pair_independent_review_v1.md (Read sensitivity; A-1; A-2; I-1)	reads are not a generic truth oracle and do not override assembly-primary estimates; the old failure label must not be transferred to the bounded callset
P07-DISCORDANCE-EVIDENCE	DIV-P07-BRACKET;DIV-P07-MASK;DIV-P07-KMER	bounded;supported;suggestive	retained_as_diagnostic_uncertainty	The H1-only read/assembly diagnostics (DP10-80 common-mask read/assembly pi ratio 0.436332; depth-qualified homozygous-reference contradictions 50.122% Illumina / 53.166% HiFi; k-mer heterozygosity 0.0026652671 vs assembly pi) are retained as important diagnostic evidence of possible assembly or projection error that the required symmetric test has not localized.	analysis/vgp_real_synthesis_v1/report.md; analysis/vgp_read_validation_results_v1.json	diagnostics must not be converted back into a blanket invalidation of the bounded result
P04-DISPOSITION	DIV-P04	bounded	unchanged_retained_raw_pending	P04 remains the retained prior-lineage assembly-derived estimate (pi=0.004604184795871289) with exact CLR raw validation still pending; it is not part of the reviewed bounded core and this correction neither strengthens nor weakens it.	analysis/vgp_real_synthesis_v1/paper_pairs.tsv; analysis/vgp_real_synthesis_v1/report.md	not a validated estimate until symmetric read validation exists
PIPELINE-DEFECTS-NOT-EXCLUSIONS	(new)	(failures previously encoded as X hard-invalid primary / X execution error)	supported	Historical FastGA execution, IMPG global-architecture/graph-identifier, IMPG lace-threading, compression/transfer-integrity, sequence-dictionary, annotation-discovery, and scratch-containment failures are pipeline defects, not biological exclusions. P02 and P03 demonstrate this concretely: both were previously HARD_INVALID_PRIMARY and both now have accepted bounded results. Species without reruns (P01, P05, P06, P08, P09, P10) remain eligible; no estimate is imputed for them.	analysis/vgp_evidence_correction_v1/pipeline_reliability.tsv; analysis/vgp_three_pair_bounded_report_v1.md	a pipeline defect must never be reported as a species-level biological exclusion or a zero
ANNOT-CATALOG-SCALE	(new; contextualizes ANNOT-EXACT)	supported	supported_catalog_level_only	The exact-accession annotation catalog reconciled 581 Freeze 1 assemblies, 1833 accepted annotations, and 10 pilot reference bindings. This is catalog reconciliation only: it is NOT a biological scale-out. Biological annotation partitions remain computed for exactly one accepted pair (P07, from the bounded callset).	analysis/vgp_annotation_catalog_summary.json; analysis/vgp_annotation_catalog_validation.json; analysis/vgp_annotation_pilot_bindings.tsv	catalog reconciliation must not be described as scaling biological annotation results
ANNOT-EXACT-BOUNDED	ANNOT-EXACT	supported	supported_superseded_values	The P07 exact-native annotation partitions are now derived from the accepted bounded callset: CDS 7,603/26,152,171 = 0.0002907215618925098; fourfold 2,212/4,225,276 = 0.0005235160969366262; fourfold_W 987/1,452,971; fourfold_S 1,225/2,772,305; WS 868; SW 920. The prior partitions computed from the superseded clean/global-lace callset (CDS 15,849/26,185,407 = 0.000605260785138837, etc.) are historical. P02/P03 partitions remain unavailable, not zero (review D-3): their catalog bindings are reference-assembly bindings not yet audited against the run H1 dictionaries.	analysis/vgp_three_pair_bounded_report_v1.md; analysis/vgp_evidence_correction_v1/annotation_paths.tsv	P02/P03 missing partitions must not be represented as zero; no cross-species annotation contrast is supported (review B-3)
SCALE-STATUS	(new)	(new)	supported	What HAS been scaled: the annotation catalog reconciliation (581 assemblies, 1,833 accepted annotations, 10 pilot reference bindings) and the bounded execution architecture across three pairs (2.0-2.7 Gbp H1 assemblies). What has NOT been scaled: biological inference beyond the three accepted bounded pairs plus the retained prior-lineage P04 result; annotation partitions beyond P07; population sampling; and any full VGP scale-out. No full scale-out was launched by this correction; the review's broad-scale NO-GO stands until its GO conditions are met.	analysis/vgp_evidence_correction_v1/annotation_paths.tsv; analysis/vgp_three_pair_review_resource_model_v1.json	no wave may be launched from this correction; the review GO is required first
PSMC-UNSIGNED	PSMC-COMPUTED;PSMC-ABSOLUTE	supported;bounded	supported_as_unscaled_trajectories	All three accepted pairs have 200/200 finite PSMC bootstraps centered on primary theta (P07 0.033275 [0.030717, 0.038811]; P03 0.040367 [0.025469, 0.056461]; P02 0.061674 [0.055957, 0.068648]). Trajectories remain unscaled assembly-derived shapes; absolute histories exist only as generic sensitivity scenarios (review B-2).	analysis/vgp_three_pair_execution_v2.json	no species-calibrated demography; PSMC and pi share the same H1/H2 pair and are non-independent
