order	phase	proposed_task_id	task_type	after	file_scope	deliverables	guix_environment	slurm_or_local_resources	download_storage_io_budget	retry_limit	validation_gate	reviewer	authorization_boundary	artifact_checks	default_status	resulting_wg_state	notes
000	0	SYNTH	completed_planning_source	plan-all-vertebrate-tier3,plan-vertebrate-ne-strategy,.assign-synthesize-vertebrate-scaleout-plan	analysis/vertebrate_scaleout_execution_plan.md;analysis/vertebrate_scaleout_execution_graph.tsv;analysis/vertebrate_scaleout_decisions.tsv	Frozen synthesis, crosswalk, decision log, inert graph	No execution	No execution	Zero download/storage delta	0	Both mandatory branches reconciled and no jobs/downloads launched	Program Architect	Planning completion is not authorization	Three artifacts parse and hashes recorded	completed_source	Local review may begin	This row documents provenance; it is not an execution node
010	0	F00-freeze-program-contracts	local_specification	SYNTH	analysis/scaleout/contracts/*	Frozen candidate/source/result/status schemas, IDs, overlap/circularity policy and graph snapshot	Existing pinned baseline only	Local 4 CPU; 8 core-h; 16 GiB; 8 h	2 GB scratch; 2 GB persistent; zero network	0	All G01-G32 mappings and required missingness vocabularies machine-validate	Data Provenance Reviewer	None; bounded local work only	Schema hashes; TSV shape; decision-status vocabulary	proceed_within_recorded_bounded_scope	A00 becomes askable, not approved	No biological data or scheduler action
020	1	A00-authorize-catalog-object	human_decision	F00-freeze-program-contracts	.wg decision only	Signed exact VGP commit/object URL, terms, <=1 MB cap, retrieval window, owner and rollback	No execution	No compute	One object <=1 MB; no assembly assets	0	Named human records approve/no-go and exact scope; silence is no	Human project owner	Required before any external catalog retrieval	Decision message/JSON hash and expiry	requires_explicit_user_authorization	S00 remains blocked until approval	Cannot be shell/automatic task
030	1	S00-content-lock-vgp-catalog	bounded_network_acquisition	A00-authorize-catalog-object	analysis/scaleout/sources/*	Immutable TSV plus URL/revision/UTC/bytes/provider and SHA-256 provenance	Pinned baseline retrieval tooling after hash review	Local 1 CPU; <=1 core-h; <=2 GiB; <=1 h	Download <=1 MB; <=0.1 GB persistent; one transfer	2 transient; 0 checksum/source retries	717 lines/716 rows, exact object and header hash	Inventory Curator	Directly bounded by A00	Partial-to-atomic rename; checksum; retrieval log	blocked_until_A00	Frozen source available to parser	Moving main and placeholder date rejected
040	1	I00-parse-and-reconcile-catalog	local_metadata	S00-content-lock-vgp-catalog	analysis/scaleout/inventory/catalog/*	One-row-per-source ledger, species reconciliation, counts and exact 13/46 subsets	Pinned baseline profile	Local/metadata 2 CPU; <=12 core-h; 8 GiB; 8 h	<=2 GB scratch; <=1 GB persistent; <=5 GB read/write; <=20k ops	0	Counts 714/223/248/271/120/40 and 13/4/3/9/6/5 plus 46 reproduce or stop	Inventory Curator	No biological acquisition	Parser/hash/count report; closed-world set equality	blocked_until_source	Metadata branches may run	Duplicate rows retained and reconciled deterministically
050	1	I10-resolve-pairs-annotations-assets	metadata_preflight	I00-parse-and-reconcile-catalog	analysis/scaleout/inventory/assembly/*	Exact H1/H2/pair/individual/native-annotation/license/size and modality eligibility ledger	Pinned baseline; no SweepGA/IMPG run	Local/API 2 CPU; <=30 total inventory core-h; 16 GiB; 24 h	Within phase total: 4 GB scratch; 2 GB persistent; <=20 GB read/write; <=80k ops; 4 API requests; no biological files	2 API transient; 0 scientific substitution	100% rows disposed; exact-reference/native/callability fields unresolved remain blocked	Tier3 Scientific and Provenance Reviewers	Metadata-only within phase-1 cap	Evidence URL/retrieval time; accession versions; checksums if metadata exposes them	blocked_until_inventory	Assembly pilot candidates can be proposed	H2 labels and project IDs are never accepted as exact assets
060	1	I11-audit-population-demographic-candidates	metadata_preflight	I00-parse-and-reconcile-catalog	analysis/ne/inventory/*	Method-specific eligible/ineligible/unavailable ledger, provider byte estimates and overlap status	Pinned baseline; no method inference	Local/API 4 CPU; <=16 core-h; 16 GiB; 16 h	<=10 GB scratch/persistent; HEAD/metadata only; 4 requests; no VCF/read staging	2 metadata transient; 0 input-gate retries	Every candidate has sample/reference/mask/phase/population/calibration disposition	Demographic Methods Reviewer	No bulk or biological acquisition	Reference/sample/mask/calibration evidence hashes	blocked_until_inventory	Demographic preflight inputs defined	Current frozen eligible vertebrate count remains zero until proof
070	1	I12-curate-independent-sources	bounded_manual_metadata	F00-freeze-program-contracts	analysis/ne/sources/*	Long-form ecological/life-history/census/direct-mutation/literature-demographic table and exclusion ledger	Pinned baseline parsing only; licensed tool separately reviewed	Local 1-4 CPU; <=40 wall-h plus manual review; 16 GiB	<=20 GB persistent; no licensed/bulk export without new authorization	0; discrepancies manually resolved	>=95% independent double-entry agreement before resolution, 100% after; exact source/unit/taxon/uncertainty/overlap	Demographic Source Curator and verifier	Bounded public metadata only; source-specific license approval otherwise	Source locator/DOI/version/hash/license/extractor/verifier	proceed_within_recorded_bounded_scope	Independent predictor table can be reviewed	Inclusion cannot depend on pi
080	1	I13-freeze-taxonomy-tree-model	local_specification	I00-parse-and-reconcile-catalog	analysis/scaleout/phylogeny/*;analysis/ne/model/*	TaxId/concept/population joins, hashed tree ensemble, response IDs, DAG/formulas, missingness and measurement-error plan	Pinned baseline; statistical package additions only after review	Local 8 CPU; <=24 core-h; 32 GiB; 24 h	<=20 GB scratch/persistent; no biological download	0	No fuzzy tips; every primary taxon exact; type-I/coefficient recovery simulation passes; no shared genomic primary field	Statistical and Phylogenetic Reviewers	Bounded local model simulation only	Tree/source/hash/crosswalk and frozen formula	blocked_until_inventory	Model branch ready for dry-run	Assembly and population responses remain separate strata
090	2	E10-specify-pinned-method-environments	local_packaging_spec	F00-freeze-program-contracts	analysis/guix/scaleout/*;analysis/guix/ne/*;analysis/scaleout/software/*;analysis/ne/software/*	Reviewed manifests/package definitions, source/commit/hash/license/derivation expectations and inert wrappers	Exact channel 44bbfc24...; assembly combined SweepGA/IMPG identities; separate PSMC/MSMC2/SMC++/LD/SFS/BPP manifests	Local spec/lint 4 CPU; <=8 core-h; 16 GiB; 8 h	<=5 GB; zero realization/network in default scope	0	No latest/ambient/container ambiguity; MSMC2 not MSMC; responsibilities encoded	Reproducibility Reviewer	New realization is separately A20	Manifest/wrapper hashes and expected binaries	proceed_within_recorded_bounded_scope	A20 askable after spec review	File-disjoint per method subdirectory; join at R20
